title,description,priority,tags
Tree fallen on road,Citizens have complained about tree fallen on road at the bus depot. It has been ignored for days.,low,['environment']
Flickering light,Authorities are yet to act on the flickering light problem near the lake.,medium,['streetlight']
Damaged wall,Authorities are yet to act on the damaged wall problem at the community center.,low,"['infrastructure', 'public safety']"
Overflowing bins,"Overflowing bins reported outside the railway station, causing inconvenience and safety concerns.",low,"['environment', 'sanitation', 'garbage']"
Signal blocked by trees,Authorities are yet to act on the signal blocked by trees problem in the residential colony.,medium,['signal']
Open sewage,There has been a persistent issue with open sewage by the school gate. Residents are concerned.,high,['sanitation']
Damaged bus stop,Citizens have complained about damaged bus stop behind the hospital. It has been ignored for days.,low,"['transport', 'infrastructure', 'road']"
Uncollected garbage,The area in the residential colony is suffering due to uncollected garbage. Immediate attention is needed.,medium,['garbage']
Waste dumped on street,There has been a persistent issue with waste dumped on street at the bus depot. Residents are concerned.,low,"['sanitation', 'garbage']"
Mosquito breeding site,"A case of mosquito breeding site has emerged in the market area, disrupting daily activities.",low,['health']
Overflowing bins,"Overflowing bins reported by the school gate, causing inconvenience and safety concerns.",low,"['environment', 'sanitation', 'garbage']"
Broken classroom windows,There has been a persistent issue with broken classroom windows at the bus depot. Residents are concerned.,low,"['infrastructure', 'health', 'education']"
Dirty public toilet,"A case of dirty public toilet has emerged at the community center, disrupting daily activities.",low,"['health', 'sanitation', 'environment']"
School without drinking water,Citizens have complained about school without drinking water near the lake. It has been ignored for days.,low,"['infrastructure', 'education']"
Malfunctioning traffic signal,Authorities are yet to act on the malfunctioning traffic signal problem at the community center.,medium,"['public safety', 'signal']"
School without drinking water,There has been a persistent issue with school without drinking water in the residential colony. Residents are concerned.,low,"['infrastructure', 'health', 'education']"
Contaminated water,Authorities are yet to act on the contaminated water problem outside the railway station.,low,"['health', 'water']"
Pipe leakage,Authorities are yet to act on the pipe leakage problem in the residential colony.,low,"['health', 'sanitation', 'water']"
Power outage,The area outside Building 14 is suffering due to power outage. Immediate attention is needed.,high,"['electricity', 'infrastructure', 'public safety']"
Malfunctioning traffic signal,The area outside the railway station is suffering due to malfunctioning traffic signal. Immediate attention is needed.,medium,"['transport', 'signal']"
Dirty public toilet,Citizens have complained about dirty public toilet in the market area. It has been ignored for days.,low,"['health', 'environment']"
Street in darkness,Citizens have complained about street in darkness behind the hospital. It has been ignored for days.,high,"['infrastructure', 'public safety', 'streetlight']"
Cracked pavement,Citizens have complained about cracked pavement at the bus depot. It has been ignored for days.,low,"['infrastructure', 'road']"
Damaged bus stop,"Damaged bus stop reported at the bus depot, causing inconvenience and safety concerns.",low,"['transport', 'road']"
Power outage,Authorities are yet to act on the power outage problem by the school gate.,high,"['electricity', 'infrastructure', 'public safety']"
Open sewage,Citizens have complained about open sewage at the community center. It has been ignored for days.,high,"['health', 'sanitation']"
Mosquito breeding site,"Mosquito breeding site reported outside the railway station, causing inconvenience and safety concerns.",low,"['health', 'environment']"
Dirty public toilet,Authorities are yet to act on the dirty public toilet problem outside Building 14.,low,['health']
Open sewage,Authorities are yet to act on the open sewage problem behind the hospital.,high,"['health', 'sanitation', 'environment']"
Unsafe footpath,There has been a persistent issue with unsafe footpath in the residential colony. Residents are concerned.,high,"['infrastructure', 'public safety']"
Mosquito breeding site,Citizens have complained about mosquito breeding site near Sector 5. It has been ignored for days.,low,"['health', 'sanitation', 'environment']"
Frequent theft reports,"Frequent theft reports reported in the market area, causing inconvenience and safety concerns.",low,"['infrastructure', 'public safety', 'health']"
Unsafe footpath,"A case of unsafe footpath has emerged behind the hospital, disrupting daily activities.",high,"['public safety', 'health']"
Mosquito breeding site,Authorities are yet to act on the mosquito breeding site problem at the community center.,low,['health']
Pothole,The area behind the hospital is suffering due to pothole. Immediate attention is needed.,medium,"['transport', 'road']"
Unsafe footpath,The area by the school gate is suffering due to unsafe footpath. Immediate attention is needed.,high,['public safety']
Frequent theft reports,Citizens have complained about frequent theft reports at the community center. It has been ignored for days.,low,['public safety']
Power outage,"A case of power outage has emerged in the market area, disrupting daily activities.",high,"['electricity', 'public safety']"
Flickering light,There has been a persistent issue with flickering light outside Building 14. Residents are concerned.,medium,['streetlight']
Frequent theft reports,Citizens have complained about frequent theft reports near the lake. It has been ignored for days.,low,"['public safety', 'health']"
Contaminated water,"Contaminated water reported at the bus depot, causing inconvenience and safety concerns.",low,"['health', 'sanitation', 'water']"
Non-functional streetlight,There has been a persistent issue with non-functional streetlight near the lake. Residents are concerned.,medium,"['infrastructure', 'streetlight']"
Open sewage,"A case of open sewage has emerged at the community center, disrupting daily activities.",high,"['sanitation', 'environment']"
Tree fallen on road,Authorities are yet to act on the tree fallen on road problem in the residential colony.,low,"['sanitation', 'environment']"
Signal blocked by trees,Authorities are yet to act on the signal blocked by trees problem in the residential colony.,medium,"['transport', 'signal']"
Frequent voltage drops,Authorities are yet to act on the frequent voltage drops problem near the lake.,low,"['electricity', 'infrastructure', 'public safety']"
Unsafe footpath,Citizens have complained about unsafe footpath outside the railway station. It has been ignored for days.,high,"['infrastructure', 'public safety', 'health']"
Unsafe footpath,The area outside Building 14 is suffering due to unsafe footpath. Immediate attention is needed.,high,"['infrastructure', 'public safety', 'health']"
Faded zebra crossing,The area in the residential colony is suffering due to faded zebra crossing. Immediate attention is needed.,low,"['transport', 'infrastructure', 'road']"
Fallen signboard,"A case of fallen signboard has emerged in the residential colony, disrupting daily activities.",low,"['infrastructure', 'public safety', 'environment']"
Mosquito breeding site,There has been a persistent issue with mosquito breeding site at the bus depot. Residents are concerned.,low,"['health', 'sanitation']"
Open sewage,"Open sewage reported in the market area, causing inconvenience and safety concerns.",high,"['health', 'sanitation', 'environment']"
Polluted water body,There has been a persistent issue with polluted water body at the bus depot. Residents are concerned.,low,['environment']
Malfunctioning traffic signal,There has been a persistent issue with malfunctioning traffic signal outside the railway station. Residents are concerned.,medium,"['transport', 'public safety', 'signal']"
Damaged bus stop,"Damaged bus stop reported near Sector 5, causing inconvenience and safety concerns.",low,"['transport', 'infrastructure', 'road']"
Cracked pavement,Citizens have complained about cracked pavement outside Building 14. It has been ignored for days.,low,"['transport', 'road']"
Frequent theft reports,Authorities are yet to act on the frequent theft reports problem at the community center.,low,"['infrastructure', 'public safety', 'health']"
Polluted water body,There has been a persistent issue with polluted water body in the residential colony. Residents are concerned.,low,"['health', 'sanitation', 'environment']"
Street in darkness,The area outside the railway station is suffering due to street in darkness. Immediate attention is needed.,high,"['infrastructure', 'public safety', 'streetlight']"
Non-functional streetlight,There has been a persistent issue with non-functional streetlight near the lake. Residents are concerned.,medium,"['infrastructure', 'streetlight']"
Signal blocked by trees,There has been a persistent issue with signal blocked by trees in the market area. Residents are concerned.,medium,['signal']
Overflowing bins,"Overflowing bins reported at the bus depot, causing inconvenience and safety concerns.",low,['garbage']
Mosquito breeding site,"A case of mosquito breeding site has emerged in the market area, disrupting daily activities.",low,"['health', 'environment']"
Polluted water body,There has been a persistent issue with polluted water body near the lake. Residents are concerned.,low,['environment']
Flickering light,Citizens have complained about flickering light outside the railway station. It has been ignored for days.,medium,"['public safety', 'streetlight']"
Dirty public toilet,Authorities are yet to act on the dirty public toilet problem by the school gate.,low,"['health', 'environment']"
Damaged wall,Authorities are yet to act on the damaged wall problem near Sector 5.,low,"['infrastructure', 'public safety', 'environment']"
No water supply,The area in the residential colony is suffering due to no water supply. Immediate attention is needed.,low,"['health', 'sanitation', 'water']"
Dark alley,There has been a persistent issue with dark alley in the residential colony. Residents are concerned.,high,"['public safety', 'health']"
Fallen signboard,The area outside the railway station is suffering due to fallen signboard. Immediate attention is needed.,low,"['infrastructure', 'public safety', 'environment']"
Flickering light,"A case of flickering light has emerged near Sector 5, disrupting daily activities.",medium,"['infrastructure', 'public safety', 'streetlight']"
Signal blocked by trees,There has been a persistent issue with signal blocked by trees near the lake. Residents are concerned.,medium,['signal']
Polluted water body,The area near the lake is suffering due to polluted water body. Immediate attention is needed.,low,"['health', 'sanitation', 'environment']"
Flickering light,Authorities are yet to act on the flickering light problem outside Building 14.,medium,"['infrastructure', 'streetlight']"
Frequent voltage drops,There has been a persistent issue with frequent voltage drops at the bus depot. Residents are concerned.,low,"['electricity', 'infrastructure', 'public safety']"
Broken classroom windows,There has been a persistent issue with broken classroom windows outside the railway station. Residents are concerned.,low,['education']
Missing bus route board,"A case of missing bus route board has emerged in the market area, disrupting daily activities.",low,"['transport', 'infrastructure', 'road']"
Broken classroom windows,The area in the market area is suffering due to broken classroom windows. Immediate attention is needed.,low,"['health', 'education']"
Non-functional streetlight,"A case of non-functional streetlight has emerged at the community center, disrupting daily activities.",medium,"['infrastructure', 'public safety', 'streetlight']"
Unsafe footpath,"A case of unsafe footpath has emerged in the market area, disrupting daily activities.",high,"['public safety', 'health']"
Overflowing bins,"Overflowing bins reported at the community center, causing inconvenience and safety concerns.",low,"['environment', 'sanitation', 'garbage']"
Mosquito breeding site,The area in the residential colony is suffering due to mosquito breeding site. Immediate attention is needed.,low,"['health', 'sanitation', 'environment']"
Polluted water body,"A case of polluted water body has emerged behind the hospital, disrupting daily activities.",low,"['health', 'sanitation', 'environment']"
Malfunctioning traffic signal,The area at the bus depot is suffering due to malfunctioning traffic signal. Immediate attention is needed.,medium,"['public safety', 'signal']"
Clogged drainage,"Clogged drainage reported at the community center, causing inconvenience and safety concerns.",high,"['health', 'sanitation', 'environment']"
Street in darkness,Authorities are yet to act on the street in darkness problem outside the railway station.,high,"['infrastructure', 'public safety', 'streetlight']"
Pothole,The area by the school gate is suffering due to pothole. Immediate attention is needed.,medium,"['transport', 'infrastructure', 'road']"
Damaged wall,There has been a persistent issue with damaged wall near the lake. Residents are concerned.,low,"['infrastructure', 'public safety', 'environment']"
Damaged bus stop,There has been a persistent issue with damaged bus stop behind the hospital. Residents are concerned.,low,"['transport', 'infrastructure']"
Frequent voltage drops,Authorities are yet to act on the frequent voltage drops problem behind the hospital.,low,['electricity']
Overflowing bins,The area in the residential colony is suffering due to overflowing bins. Immediate attention is needed.,low,['garbage']
Mosquito breeding site,The area in the market area is suffering due to mosquito breeding site. Immediate attention is needed.,low,"['health', 'sanitation']"
Mosquito breeding site,"A case of mosquito breeding site has emerged at the bus depot, disrupting daily activities.",low,['health']
Faded zebra crossing,"Faded zebra crossing reported in the residential colony, causing inconvenience and safety concerns.",low,"['transport', 'infrastructure', 'road']"
Damaged wall,There has been a persistent issue with damaged wall in the market area. Residents are concerned.,low,"['infrastructure', 'public safety', 'environment']"
Polluted water body,The area at the bus depot is suffering due to polluted water body. Immediate attention is needed.,low,"['health', 'sanitation', 'environment']"
Contaminated water,The area near Sector 5 is suffering due to contaminated water. Immediate attention is needed.,low,"['health', 'water']"
Non-functional streetlight,"A case of non-functional streetlight has emerged in the market area, disrupting daily activities.",medium,"['infrastructure', 'streetlight']"
Unsafe footpath,"Unsafe footpath reported at the community center, causing inconvenience and safety concerns.",high,"['infrastructure', 'public safety', 'health']"
Damaged wall,The area in the market area is suffering due to damaged wall. Immediate attention is needed.,low,"['infrastructure', 'environment']"
Dirty public toilet,The area in the residential colony is suffering due to dirty public toilet. Immediate attention is needed.,low,"['health', 'sanitation', 'environment']"
Flickering light,Authorities are yet to act on the flickering light problem at the community center.,medium,['streetlight']
Signal blocked by trees,There has been a persistent issue with signal blocked by trees outside the railway station. Residents are concerned.,medium,"['transport', 'public safety', 'signal']"
Open sewage,Authorities are yet to act on the open sewage problem near Sector 5.,high,"['sanitation', 'environment']"
Polluted water body,The area behind the hospital is suffering due to polluted water body. Immediate attention is needed.,low,"['health', 'environment']"
Overflowing bins,Citizens have complained about overflowing bins at the bus depot. It has been ignored for days.,low,"['sanitation', 'garbage']"
Street in darkness,"A case of street in darkness has emerged outside Building 14, disrupting daily activities.",high,"['infrastructure', 'public safety', 'streetlight']"
Waste dumped on street,The area by the school gate is suffering due to waste dumped on street. Immediate attention is needed.,low,"['environment', 'sanitation', 'garbage']"
School without drinking water,There has been a persistent issue with school without drinking water by the school gate. Residents are concerned.,low,"['infrastructure', 'health', 'education']"
Polluted water body,"Polluted water body reported in the residential colony, causing inconvenience and safety concerns.",low,"['health', 'sanitation', 'environment']"
Street in darkness,Authorities are yet to act on the street in darkness problem at the community center.,high,"['public safety', 'streetlight']"
Tree fallen on road,Citizens have complained about tree fallen on road by the school gate. It has been ignored for days.,low,"['health', 'sanitation', 'environment']"
Power outage,There has been a persistent issue with power outage at the community center. Residents are concerned.,high,"['electricity', 'infrastructure', 'public safety']"
Frequent voltage drops,"A case of frequent voltage drops has emerged behind the hospital, disrupting daily activities.",low,['electricity']
Pipe leakage,Authorities are yet to act on the pipe leakage problem near the lake.,low,['water']
Dark alley,Authorities are yet to act on the dark alley problem near the lake.,high,"['infrastructure', 'public safety']"
Signal blocked by trees,Authorities are yet to act on the signal blocked by trees problem near Sector 5.,medium,['signal']
Fallen signboard,There has been a persistent issue with fallen signboard behind the hospital. Residents are concerned.,low,"['infrastructure', 'public safety', 'environment']"
Unsafe footpath,Authorities are yet to act on the unsafe footpath problem in the residential colony.,high,['public safety']
Tree fallen on road,The area behind the hospital is suffering due to tree fallen on road. Immediate attention is needed.,low,"['sanitation', 'environment']"
Waste dumped on street,"A case of waste dumped on street has emerged in the residential colony, disrupting daily activities.",low,"['environment', 'sanitation', 'garbage']"
Broken classroom windows,There has been a persistent issue with broken classroom windows outside the railway station. Residents are concerned.,low,"['infrastructure', 'health', 'education']"
Clogged drainage,The area near the lake is suffering due to clogged drainage. Immediate attention is needed.,high,"['sanitation', 'environment']"
Broken bench,Citizens have complained about broken bench behind the hospital. It has been ignored for days.,medium,"['infrastructure', 'public safety']"
Dark alley,"A case of dark alley has emerged outside the railway station, disrupting daily activities.",high,"['public safety', 'health']"
Street in darkness,Citizens have complained about street in darkness at the bus depot. It has been ignored for days.,high,"['infrastructure', 'public safety', 'streetlight']"
Fallen signboard,"A case of fallen signboard has emerged by the school gate, disrupting daily activities.",low,"['infrastructure', 'public safety', 'environment']"
Mosquito breeding site,Authorities are yet to act on the mosquito breeding site problem near Sector 5.,low,['health']
Malfunctioning traffic signal,Authorities are yet to act on the malfunctioning traffic signal problem at the community center.,medium,"['transport', 'public safety', 'signal']"
Frequent voltage drops,The area near Sector 5 is suffering due to frequent voltage drops. Immediate attention is needed.,low,"['electricity', 'infrastructure', 'public safety']"
Street in darkness,Citizens have complained about street in darkness in the market area. It has been ignored for days.,high,"['infrastructure', 'public safety', 'streetlight']"
Pipe leakage,There has been a persistent issue with pipe leakage behind the hospital. Residents are concerned.,low,"['health', 'sanitation', 'water']"
Malfunctioning traffic signal,The area in the residential colony is suffering due to malfunctioning traffic signal. Immediate attention is needed.,medium,['signal']
Faded zebra crossing,Authorities are yet to act on the faded zebra crossing problem by the school gate.,low,"['infrastructure', 'road']"
Mosquito breeding site,The area by the school gate is suffering due to mosquito breeding site. Immediate attention is needed.,low,"['health', 'sanitation']"
Power outage,Authorities are yet to act on the power outage problem at the community center.,high,"['electricity', 'infrastructure']"
Broken bench,"A case of broken bench has emerged near Sector 5, disrupting daily activities.",medium,"['infrastructure', 'public safety', 'environment']"
Signal blocked by trees,Citizens have complained about signal blocked by trees at the community center. It has been ignored for days.,medium,"['transport', 'signal']"
Waste dumped on street,Authorities are yet to act on the waste dumped on street problem near the lake.,low,"['environment', 'sanitation', 'garbage']"
School without drinking water,There has been a persistent issue with school without drinking water outside Building 14. Residents are concerned.,low,"['infrastructure', 'education']"
Mosquito breeding site,"Mosquito breeding site reported outside Building 14, causing inconvenience and safety concerns.",low,"['health', 'environment']"
Tree fallen on road,Authorities are yet to act on the tree fallen on road problem outside the railway station.,low,"['health', 'sanitation', 'environment']"
Cracked pavement,There has been a persistent issue with cracked pavement in the residential colony. Residents are concerned.,low,"['transport', 'road']"
Malfunctioning traffic signal,"A case of malfunctioning traffic signal has emerged near the lake, disrupting daily activities.",medium,['signal']
Frequent theft reports,Citizens have complained about frequent theft reports behind the hospital. It has been ignored for days.,low,['public safety']
Bad smell from drains,"A case of bad smell from drains has emerged by the school gate, disrupting daily activities.",low,['sanitation']
Fallen signboard,"Fallen signboard reported at the bus depot, causing inconvenience and safety concerns.",low,"['infrastructure', 'public safety', 'environment']"
Power outage,"A case of power outage has emerged at the bus depot, disrupting daily activities.",high,"['electricity', 'public safety']"
Frequent voltage drops,There has been a persistent issue with frequent voltage drops outside Building 14. Residents are concerned.,low,['electricity']
Street in darkness,Authorities are yet to act on the street in darkness problem in the residential colony.,high,['streetlight']
Overflowing bins,The area near the lake is suffering due to overflowing bins. Immediate attention is needed.,low,"['environment', 'sanitation', 'garbage']"
Damaged wall,The area at the community center is suffering due to damaged wall. Immediate attention is needed.,low,['infrastructure']
Street in darkness,Authorities are yet to act on the street in darkness problem in the market area.,high,['streetlight']
Non-functional streetlight,"Non-functional streetlight reported outside Building 14, causing inconvenience and safety concerns.",medium,['streetlight']
Dirty public toilet,The area at the community center is suffering due to dirty public toilet. Immediate attention is needed.,low,"['health', 'sanitation', 'environment']"
Bad smell from drains,"A case of bad smell from drains has emerged in the residential colony, disrupting daily activities.",low,['sanitation']
Broken bench,There has been a persistent issue with broken bench in the market area. Residents are concerned.,medium,"['infrastructure', 'public safety', 'environment']"
Uncollected garbage,There has been a persistent issue with uncollected garbage in the market area. Residents are concerned.,medium,['garbage']
Open sewage,"Open sewage reported at the community center, causing inconvenience and safety concerns.",high,"['health', 'sanitation']"
Broken classroom windows,The area in the residential colony is suffering due to broken classroom windows. Immediate attention is needed.,low,"['health', 'education']"
Bad smell from drains,Authorities are yet to act on the bad smell from drains problem at the bus depot.,low,"['sanitation', 'environment']"
Frequent theft reports,"Frequent theft reports reported in the residential colony, causing inconvenience and safety concerns.",low,"['infrastructure', 'public safety']"
Faded zebra crossing,Authorities are yet to act on the faded zebra crossing problem near the lake.,low,"['infrastructure', 'road']"
Mosquito breeding site,The area behind the hospital is suffering due to mosquito breeding site. Immediate attention is needed.,low,"['health', 'sanitation', 'environment']"
Overflowing bins,"A case of overflowing bins has emerged near the lake, disrupting daily activities.",low,"['environment', 'sanitation', 'garbage']"
School without drinking water,There has been a persistent issue with school without drinking water near Sector 5. Residents are concerned.,low,['education']
Uncollected garbage,The area at the bus depot is suffering due to uncollected garbage. Immediate attention is needed.,medium,"['environment', 'sanitation', 'garbage']"
Tree fallen on road,"A case of tree fallen on road has emerged in the market area, disrupting daily activities.",low,"['health', 'sanitation', 'environment']"
Cracked pavement,There has been a persistent issue with cracked pavement near the lake. Residents are concerned.,low,['road']
Missing bus route board,"Missing bus route board reported at the community center, causing inconvenience and safety concerns.",low,"['transport', 'infrastructure', 'road']"
Polluted water body,"A case of polluted water body has emerged near the lake, disrupting daily activities.",low,['environment']
Uncollected garbage,"A case of uncollected garbage has emerged near the lake, disrupting daily activities.",medium,"['sanitation', 'garbage']"
Malfunctioning traffic signal,Authorities are yet to act on the malfunctioning traffic signal problem at the community center.,medium,"['public safety', 'signal']"
Frequent voltage drops,"Frequent voltage drops reported at the community center, causing inconvenience and safety concerns.",low,['electricity']
Broken classroom windows,Citizens have complained about broken classroom windows outside Building 14. It has been ignored for days.,low,"['health', 'education']"
Signal blocked by trees,Authorities are yet to act on the signal blocked by trees problem by the school gate.,medium,"['transport', 'signal']"
Signal blocked by trees,"A case of signal blocked by trees has emerged behind the hospital, disrupting daily activities.",medium,"['transport', 'public safety', 'signal']"
Mosquito breeding site,There has been a persistent issue with mosquito breeding site outside Building 14. Residents are concerned.,low,['health']
Signal blocked by trees,"A case of signal blocked by trees has emerged at the community center, disrupting daily activities.",medium,"['transport', 'public safety', 'signal']"
Power outage,"Power outage reported in the market area, causing inconvenience and safety concerns.",high,"['electricity', 'infrastructure', 'public safety']"
Mosquito breeding site,There has been a persistent issue with mosquito breeding site at the community center. Residents are concerned.,low,['health']
Unsafe footpath,Citizens have complained about unsafe footpath near Sector 5. It has been ignored for days.,high,"['infrastructure', 'public safety']"
Dark alley,"A case of dark alley has emerged near Sector 5, disrupting daily activities.",high,"['infrastructure', 'public safety', 'health']"
Non-functional streetlight,There has been a persistent issue with non-functional streetlight near the lake. Residents are concerned.,medium,"['public safety', 'streetlight']"
Malfunctioning traffic signal,Authorities are yet to act on the malfunctioning traffic signal problem outside the railway station.,medium,"['public safety', 'signal']"
Waste dumped on street,"Waste dumped on street reported near the lake, causing inconvenience and safety concerns.",low,"['sanitation', 'garbage']"
Waste dumped on street,"A case of waste dumped on street has emerged by the school gate, disrupting daily activities.",low,"['environment', 'sanitation', 'garbage']"
School without drinking water,There has been a persistent issue with school without drinking water by the school gate. Residents are concerned.,low,['education']
Missing bus route board,Authorities are yet to act on the missing bus route board problem near Sector 5.,low,"['transport', 'infrastructure']"
Frequent voltage drops,Citizens have complained about frequent voltage drops behind the hospital. It has been ignored for days.,low,"['electricity', 'infrastructure', 'public safety']"
Dirty public toilet,"Dirty public toilet reported outside Building 14, causing inconvenience and safety concerns.",low,['health']
Frequent theft reports,The area outside the railway station is suffering due to frequent theft reports. Immediate attention is needed.,low,['public safety']
Flickering light,There has been a persistent issue with flickering light near the lake. Residents are concerned.,medium,['streetlight']
Tree fallen on road,The area near the lake is suffering due to tree fallen on road. Immediate attention is needed.,low,"['health', 'sanitation', 'environment']"
Pipe leakage,Citizens have complained about pipe leakage in the residential colony. It has been ignored for days.,low,"['sanitation', 'water']"
Open sewage,"Open sewage reported by the school gate, causing inconvenience and safety concerns.",high,"['health', 'sanitation', 'environment']"
Dirty public toilet,"Dirty public toilet reported outside Building 14, causing inconvenience and safety concerns.",low,"['health', 'environment']"
Power outage,"Power outage reported near Sector 5, causing inconvenience and safety concerns.",high,"['electricity', 'infrastructure', 'public safety']"
Flickering light,Authorities are yet to act on the flickering light problem near Sector 5.,medium,['streetlight']
Tree fallen on road,There has been a persistent issue with tree fallen on road at the bus depot. Residents are concerned.,low,['environment']
Mosquito breeding site,The area by the school gate is suffering due to mosquito breeding site. Immediate attention is needed.,low,"['health', 'sanitation', 'environment']"
Polluted water body,"A case of polluted water body has emerged in the market area, disrupting daily activities.",low,['environment']
Cracked pavement,There has been a persistent issue with cracked pavement behind the hospital. Residents are concerned.,low,"['transport', 'infrastructure', 'road']"
Dirty public toilet,Authorities are yet to act on the dirty public toilet problem at the community center.,low,"['health', 'sanitation', 'environment']"
Clogged drainage,Authorities are yet to act on the clogged drainage problem at the bus depot.,high,['sanitation']
Missing bus route board,The area at the bus depot is suffering due to missing bus route board. Immediate attention is needed.,low,"['transport', 'infrastructure', 'road']"
School without drinking water,There has been a persistent issue with school without drinking water near Sector 5. Residents are concerned.,low,['education']
Damaged wall,The area outside Building 14 is suffering due to damaged wall. Immediate attention is needed.,low,['infrastructure']
Signal blocked by trees,Authorities are yet to act on the signal blocked by trees problem near Sector 5.,medium,"['transport', 'public safety', 'signal']"
Mosquito breeding site,Citizens have complained about mosquito breeding site at the community center. It has been ignored for days.,low,"['health', 'sanitation']"
Malfunctioning traffic signal,"A case of malfunctioning traffic signal has emerged in the market area, disrupting daily activities.",medium,"['public safety', 'signal']"
Damaged wall,Citizens have complained about damaged wall in the residential colony. It has been ignored for days.,low,"['infrastructure', 'public safety', 'environment']"
Polluted water body,"Polluted water body reported in the market area, causing inconvenience and safety concerns.",low,['environment']
Faded zebra crossing,There has been a persistent issue with faded zebra crossing at the community center. Residents are concerned.,low,"['infrastructure', 'road']"
Polluted water body,There has been a persistent issue with polluted water body near Sector 5. Residents are concerned.,low,"['health', 'sanitation', 'environment']"
Tree fallen on road,Authorities are yet to act on the tree fallen on road problem outside Building 14.,low,"['health', 'sanitation', 'environment']"
Broken classroom windows,Authorities are yet to act on the broken classroom windows problem outside Building 14.,low,"['infrastructure', 'health', 'education']"
Frequent theft reports,Citizens have complained about frequent theft reports outside the railway station. It has been ignored for days.,low,"['infrastructure', 'public safety']"
Faded zebra crossing,There has been a persistent issue with faded zebra crossing by the school gate. Residents are concerned.,low,['road']
Waste dumped on street,"Waste dumped on street reported near Sector 5, causing inconvenience and safety concerns.",low,"['environment', 'garbage']"
Malfunctioning traffic signal,Citizens have complained about malfunctioning traffic signal behind the hospital. It has been ignored for days.,medium,"['public safety', 'signal']"
Pipe leakage,There has been a persistent issue with pipe leakage in the residential colony. Residents are concerned.,low,"['health', 'sanitation', 'water']"
Clogged drainage,Citizens have complained about clogged drainage at the bus depot. It has been ignored for days.,high,"['health', 'sanitation', 'environment']"
Flickering light,"Flickering light reported in the market area, causing inconvenience and safety concerns.",medium,"['infrastructure', 'public safety', 'streetlight']"
Tree fallen on road,"Tree fallen on road reported in the residential colony, causing inconvenience and safety concerns.",low,"['health', 'sanitation', 'environment']"
Dark alley,"A case of dark alley has emerged outside Building 14, disrupting daily activities.",high,"['infrastructure', 'public safety', 'health']"
Dirty public toilet,There has been a persistent issue with dirty public toilet outside Building 14. Residents are concerned.,low,"['health', 'sanitation', 'environment']"
Damaged bus stop,The area in the market area is suffering due to damaged bus stop. Immediate attention is needed.,low,"['transport', 'infrastructure']"
Fallen signboard,"Fallen signboard reported by the school gate, causing inconvenience and safety concerns.",low,['infrastructure']
Cracked pavement,Authorities are yet to act on the cracked pavement problem in the residential colony.,low,"['transport', 'infrastructure', 'road']"
Street in darkness,Authorities are yet to act on the street in darkness problem at the bus depot.,high,"['infrastructure', 'public safety', 'streetlight']"
Cracked pavement,The area in the market area is suffering due to cracked pavement. Immediate attention is needed.,low,"['infrastructure', 'road']"
Broken classroom windows,"Broken classroom windows reported near the lake, causing inconvenience and safety concerns.",low,"['health', 'education']"
Pipe leakage,There has been a persistent issue with pipe leakage behind the hospital. Residents are concerned.,low,"['sanitation', 'water']"
Open sewage,"Open sewage reported outside Building 14, causing inconvenience and safety concerns.",high,['sanitation']
Damaged road,"Damaged road reported in the residential colony, causing inconvenience and safety concerns.",low,"['transport', 'infrastructure', 'road']"
Waste dumped on street,"Waste dumped on street reported near Sector 5, causing inconvenience and safety concerns.",low,"['environment', 'garbage']"
Damaged road,Authorities are yet to act on the damaged road problem in the market area.,low,"['transport', 'infrastructure', 'road']"
Faded zebra crossing,The area at the bus depot is suffering due to faded zebra crossing. Immediate attention is needed.,low,['road']
Missing bus route board,The area outside the railway station is suffering due to missing bus route board. Immediate attention is needed.,low,"['transport', 'infrastructure', 'road']"
Tree fallen on road,The area behind the hospital is suffering due to tree fallen on road. Immediate attention is needed.,low,"['health', 'sanitation', 'environment']"
Sparking transformer,Authorities are yet to act on the sparking transformer problem in the market area.,high,"['electricity', 'infrastructure']"
Cracked pavement,Authorities are yet to act on the cracked pavement problem by the school gate.,low,['road']
Street in darkness,"A case of street in darkness has emerged near the lake, disrupting daily activities.",high,['streetlight']
Non-functional streetlight,The area outside Building 14 is suffering due to non-functional streetlight. Immediate attention is needed.,medium,"['infrastructure', 'public safety', 'streetlight']"
Polluted water body,There has been a persistent issue with polluted water body near Sector 5. Residents are concerned.,low,['environment']
Frequent theft reports,The area near Sector 5 is suffering due to frequent theft reports. Immediate attention is needed.,low,"['public safety', 'health']"
Dark alley,The area near Sector 5 is suffering due to dark alley. Immediate attention is needed.,high,['public safety']
Faded zebra crossing,Citizens have complained about faded zebra crossing at the bus depot. It has been ignored for days.,low,"['transport', 'road']"
Flickering light,"Flickering light reported outside Building 14, causing inconvenience and safety concerns.",medium,"['public safety', 'streetlight']"
Pipe leakage,"A case of pipe leakage has emerged at the community center, disrupting daily activities.",low,"['health', 'sanitation', 'water']"
Bad smell from drains,"Bad smell from drains reported at the community center, causing inconvenience and safety concerns.",low,"['health', 'sanitation', 'environment']"
Broken classroom windows,"A case of broken classroom windows has emerged in the residential colony, disrupting daily activities.",low,['education']
Damaged wall,The area at the community center is suffering due to damaged wall. Immediate attention is needed.,low,"['infrastructure', 'public safety', 'environment']"
